Vorname,Anzahl,Geschlecht,Jahr,Bezirk
Mariella,5,w,2014,charlottenburg-wilmersdorf.csv
Bastian,5,m,2014,charlottenburg-wilmersdorf.csv
Melis,5,w,2014,charlottenburg-wilmersdorf.csv
Benedikt,5,m,2014,charlottenburg-wilmersdorf.csv
Milena,5,w,2014,charlottenburg-wilmersdorf.csv
Bennet,5,m,2014,charlottenburg-wilmersdorf.csv
Milla,5,w,2014,charlottenburg-wilmersdorf.csv
Carlos,5,m,2014,charlottenburg-wilmersdorf.csv
Minou,5,w,2014,charlottenburg-wilmersdorf.csv
Casimir,5,m,2014,charlottenburg-wilmersdorf.csv
Miray,5,w,2014,charlottenburg-wilmersdorf.csv
Diego,5,m,2014,charlottenburg-wilmersdorf.csv
Nayla,5,w,2014,charlottenburg-wilmersdorf.csv
Dominic,5,m,2014,charlottenburg-wilmersdorf.csv
Romy,5,w,2014,charlottenburg-wilmersdorf.csv
Elyas,5,m,2014,charlottenburg-wilmersdorf.csv
Shirin,5,w,2014,charlottenburg-wilmersdorf.csv
Eren,5,m,2014,charlottenburg-wilmersdorf.csv
Eymen,5,m,2014,charlottenburg-wilmersdorf.csv
Frank,5,m,2014,charlottenburg-wilmersdorf.csv
Frederick,5,m,2014,charlottenburg-wilmersdorf.csv
Hannes,5,m,2014,charlottenburg-wilmersdorf.csv
Henrik,5,m,2014,charlottenburg-wilmersdorf.csv
Ilyas,5,m,2014,charlottenburg-wilmersdorf.csv
Ivan,5,m,2014,charlottenburg-wilmersdorf.csv
Ivo,5,m,2014,charlottenburg-wilmersdorf.csv
Jannes,5,m,2014,charlottenburg-wilmersdorf.csv
Janosch,5,m,2014,charlottenburg-wilmersdorf.csv
Joseph,5,m,2014,charlottenburg-wilmersdorf.csv
Kerem,5,m,2014,charlottenburg-wilmersdorf.csv
Lennox,5,m,2014,charlottenburg-wilmersdorf.csv
Levin,5,m,2014,charlottenburg-wilmersdorf.csv
Lionel,5,m,2014,charlottenburg-wilmersdorf.csv
Léon,5,m,2014,charlottenburg-wilmersdorf.csv
Malte,5,m,2014,charlottenburg-wilmersdorf.csv
Marco,5,m,2014,charlottenburg-wilmersdorf.csv
Marvin,5,m,2014,charlottenburg-wilmersdorf.csv
Matthias,5,m,2014,charlottenburg-wilmersdorf.csv
Matti,5,m,2014,charlottenburg-wilmersdorf.csv
Michel,5,m,2014,charlottenburg-wilmersdorf.csv
Mohamed,5,m,2014,charlottenburg-wilmersdorf.csv
Moussa,5,m,2014,charlottenburg-wilmersdorf.csv
Nepomuk,5,m,2014,charlottenburg-wilmersdorf.csv
Niclas,5,m,2014,charlottenburg-wilmersdorf.csv
Noel,5,m,2014,charlottenburg-wilmersdorf.csv
Phil,5,m,2014,charlottenburg-wilmersdorf.csv
Phillip,5,m,2014,charlottenburg-wilmersdorf.csv
Rasmus,5,m,2014,charlottenburg-wilmersdorf.csv
Rio,5,m,2014,charlottenburg-wilmersdorf.csv
Romeo,5,m,2014,charlottenburg-wilmersdorf.csv
Thore,5,m,2014,charlottenburg-wilmersdorf.csv
Willem,5,m,2014,charlottenburg-wilmersdorf.csv
Yunus,5,m,2014,charlottenburg-wilmersdorf.csv
Ada,4,w,2014,charlottenburg-wilmersdorf.csv
Adriana,4,w,2014,charlottenburg-wilmersdorf.csv
Aliyah,4,w,2014,charlottenburg-wilmersdorf.csv
Anne,4,w,2014,charlottenburg-wilmersdorf.csv
Annelie,4,w,2014,charlottenburg-wilmersdorf.csv
Aylin,4,w,2014,charlottenburg-wilmersdorf.csv
Azra,4,w,2014,charlottenburg-wilmersdorf.csv
Carolin,4,w,2014,charlottenburg-wilmersdorf.csv
Cecilia,4,w,2014,charlottenburg-wilmersdorf.csv
Christiane,4,w,2014,charlottenburg-wilmersdorf.csv
Christine,4,w,2014,charlottenburg-wilmersdorf.csv
Claire,4,w,2014,charlottenburg-wilmersdorf.csv
Daria,4,w,2014,charlottenburg-wilmersdorf.csv
Elina,4,w,2014,charlottenburg-wilmersdorf.csv
Elizabeth,4,w,2014,charlottenburg-wilmersdorf.csv
Elli,4,w,2014,charlottenburg-wilmersdorf.csv
Emmi,4,w,2014,charlottenburg-wilmersdorf.csv
Eylül,4,w,2014,charlottenburg-wilmersdorf.csv
Fabienne,4,w,2014,charlottenburg-wilmersdorf.csv
Fanny,4,w,2014,charlottenburg-wilmersdorf.csv
Frederike,4,w,2014,charlottenburg-wilmersdorf.csv
Giulia,4,w,2014,charlottenburg-wilmersdorf.csv
Hazal,4,w,2014,charlottenburg-wilmersdorf.csv
Heidi,4,w,2014,charlottenburg-wilmersdorf.csv
Lana,4,w,2014,charlottenburg-wilmersdorf.csv
Leonore,4,w,2014,charlottenburg-wilmersdorf.csv
Letizia,4,w,2014,charlottenburg-wilmersdorf.csv
Liliana,4,w,2014,charlottenburg-wilmersdorf.csv
Lilou,4,w,2014,charlottenburg-wilmersdorf.csv
Liv,4,w,2014,charlottenburg-wilmersdorf.csv
Lore,4,w,2014,charlottenburg-wilmersdorf.csv
Maila,4,w,2014,charlottenburg-wilmersdorf.csv
Malia,4,w,2014,charlottenburg-wilmersdorf.csv
Malin,4,w,2014,charlottenburg-wilmersdorf.csv
Margarethe,4,w,2014,charlottenburg-wilmersdorf.csv
Minna,4,w,2014,charlottenburg-wilmersdorf.csv
Alper,4,m,2014,charlottenburg-wilmersdorf.csv
Regina,4,w,2014,charlottenburg-wilmersdorf.csv
Balthazar,4,m,2014,charlottenburg-wilmersdorf.csv
Rose,4,w,2014,charlottenburg-wilmersdorf.csv
Benno,4,m,2014,charlottenburg-wilmersdorf.csv
Sofie,4,w,2014,charlottenburg-wilmersdorf.csv
Berkay,4,m,2014,charlottenburg-wilmersdorf.csv
Su,4,w,2014,charlottenburg-wilmersdorf.csv
Bernd,4,m,2014,charlottenburg-wilmersdorf.csv
Talia,4,w,2014,charlottenburg-wilmersdorf.csv
Bjarne,4,m,2014,charlottenburg-wilmersdorf.csv
Tamara,4,w,2014,charlottenburg-wilmersdorf.csv
Colin,4,m,2014,charlottenburg-wilmersdorf.csv
Tara,4,w,2014,charlottenburg-wilmersdorf.csv
Dominik,4,m,2014,charlottenburg-wilmersdorf.csv
Thea,4,w,2014,charlottenburg-wilmersdorf.csv
Elia,4,m,2014,charlottenburg-wilmersdorf.csv
Therese,4,w,2014,charlottenburg-wilmersdorf.csv
Elian,4,m,2014,charlottenburg-wilmersdorf.csv
Valerie,4,w,2014,charlottenburg-wilmersdorf.csv
Emin,4,m,2014,charlottenburg-wilmersdorf.csv
Wilhelmine,4,w,2014,charlottenburg-wilmersdorf.csv
Emmanuel,4,m,2014,charlottenburg-wilmersdorf.csv
Yael,4,w,2014,charlottenburg-wilmersdorf.csv
Etienne,4,m,2014,charlottenburg-wilmersdorf.csv
Felipe,4,m,2014,charlottenburg-wilmersdorf.csv
Francesco,4,m,2014,charlottenburg-wilmersdorf.csv
Fynn,4,m,2014,charlottenburg-wilmersdorf.csv
Gregor,4,m,2014,charlottenburg-wilmersdorf.csv
Ian,4,m,2014,charlottenburg-wilmersdorf.csv
Joachim,4,m,2014,charlottenburg-wilmersdorf.csv
John,4,m,2014,charlottenburg-wilmersdorf.csv
Jonah,4,m,2014,charlottenburg-wilmersdorf.csv
Kaspar,4,m,2014,charlottenburg-wilmersdorf.csv
Kevin,4,m,2014,charlottenburg-wilmersdorf.csv
Kolja,4,m,2014,charlottenburg-wilmersdorf.csv
Kubilay,4,m,2014,charlottenburg-wilmersdorf.csv
Lasse,4,m,2014,charlottenburg-wilmersdorf.csv
Lennart,4,m,2014,charlottenburg-wilmersdorf.csv
Lenny,4,m,2014,charlottenburg-wilmersdorf.csv
Levent,4,m,2014,charlottenburg-wilmersdorf.csv
León,4,m,2014,charlottenburg-wilmersdorf.csv
Lion,4,m,2014,charlottenburg-wilmersdorf.csv
Luan,4,m,2014,charlottenburg-wilmersdorf.csv
Luke,4,m,2014,charlottenburg-wilmersdorf.csv
Marc,4,m,2014,charlottenburg-wilmersdorf.csv
Mark,4,m,2014,charlottenburg-wilmersdorf.csv
Mert,4,m,2014,charlottenburg-wilmersdorf.csv
Miran,4,m,2014,charlottenburg-wilmersdorf.csv
Musa,4,m,2014,charlottenburg-wilmersdorf.csv
Nathan,4,m,2014,charlottenburg-wilmersdorf.csv
Nicolai,4,m,2014,charlottenburg-wilmersdorf.csv
Nikolai,4,m,2014,charlottenburg-wilmersdorf.csv
Robert,4,m,2014,charlottenburg-wilmersdorf.csv
Roman,4,m,2014,charlottenburg-wilmersdorf.csv
Sami,4,m,2014,charlottenburg-wilmersdorf.csv
Silas,4,m,2014,charlottenburg-wilmersdorf.csv
Stefan,4,m,2014,charlottenburg-wilmersdorf.csv
Tarik,4,m,2014,charlottenburg-wilmersdorf.csv
Tristan,4,m,2014,charlottenburg-wilmersdorf.csv
